NumComplaints,Address
5220,1025 BOYNTON AVENUE
3615,2090 EAST TREMONT AVENUE
2462,2968 PERRY AVENUE
2277,2040 BRONXDALE AVENUE
2264,888 GRAND CONCOURSE
2236,1425 DR M L KING JR BOULEVARD
2143,266 BEDFORD PARK BOULEVARD
2085,2176 TIEBOUT AVENUE
1943,3810 BAILEY AVENUE
1907,1030 BOYNTON AVENUE
1809,30 BUCHANAN PLACE
1686,2074 WALLACE AVENUE
1515,750 GRAND CONCOURSE
1459,2410 WASHINGTON AVENUE
1352,2856 WEBB AVENUE
1320,3605 SEDGWICK AVENUE
1161,2664 GRAND CONCOURSE
1126,2500 WEBB AVENUE
1018,2995 BOTANICAL SQUARE
1006,2625 GRAND CONCOURSE
992,1225 SHERIDAN AVENUE
913,883 EAST  180 STREET
881,526 TINTON AVENUE
880,1381 CASTLE HILL AVENUE
876,2955 GRAND CONCOURSE
853,2645 MORRIS AVENUE
830,223 NAPLES TERRACE
760,1967 MARMION AVENUE
731,3555 BRUCKNER BOULEVARD
730,1515 SELWYN AVENUE
679,2151 CRUGER AVENUE
658,3525 DECATUR AVENUE
645,2308 HUGHES AVENUE
636,1815 DAVIDSON AVENUE
631,1841 DR M L KING JR BOULEVARD
631,109 EAST  153 STREET
622,361 EAST  163 STREET
604,655 PELHAM PARKWAY NORTH
603,357 EAST  201 STREET
599,2682 CRESTON AVENUE
586,1690 NELSON AVENUE
585,215 WEST  242 STREET
579,1555 GRAND CONCOURSE
577,1742 EAST  172 STREET
575,1801 MARMION AVENUE
567,530 EAST  169 STREET
566,1892 MORRIS AVENUE
556,840 GRAND CONCOURSE
496,2285 SEDGWICK AVENUE
484,3006 DECATUR AVENUE
471,1120 BRYANT AVENUE
466,707 EAST  242 STREET
462,1534 ERICSON PLACE
459,1845 HOBART AVENUE
457,3560 OLINVILLE AVENUE
455,214 EAST  203 STREET
452,530 EAST 169 STREET
446,3135 GODWIN TERRACE
440,900 GRAND CONCOURSE
439,1259 CLAY AVENUE
437,3864 WHITE PLAINS ROAD
435,930 SHERIDAN AVENUE
429,3150 ROCHAMBEAU AVENUE
429,2155 PAULDING AVENUE
429,2430 MORRIS AVENUE
419,660 NEREID AVENUE
418,1500 GRAND CONCOURSE
410,1802 LURTING AVENUE
409,1175 MORRIS AVENUE
409,1056 FINDLAY AVENUE
408,75 EAST  190 STREET
407,236 MT HOPE PLACE
406,1789 DAVIDSON AVENUE
404,3501 DECATUR AVENUE
397,1221 SHERIDAN AVENUE
397,2490 DAVIDSON AVENUE
389,751 GERARD AVENUE
388,4305 FURMAN AVENUE
381,2076 CRESTON AVENUE
378,2683 MORRIS AVENUE
373,1920 OSBORNE PLACE
371,540 CONCORD AVENUE
368,957 WOODYCREST AVENUE
367,1576 TAYLOR AVENUE
367,116 EAST MOSHOLU PARKWAY SOUTH
366,1610 DR M L KING JR BOULEVARD
364,2485 MORRIS AVENUE
363,1465 JESUP AVENUE
359,3110 KINGSBRIDGE TERRACE
356,2123 TIEBOUT AVENUE
355,2330 CROTONA AVENUE
353,3025 GODWIN TERRACE
352,2095 GRAND CONCOURSE
349,488 EAST  164 STREET
348,3840 ORLOFF AVENUE
348,1200 CROES AVENUE
346,928 GERARD AVENUE
346,3200 DECATUR AVENUE
345,3459 DEKALB AVENUE
345,201 EAST MOSHOLU PARKWAY NORTH
344,272 EAST  237 STREET
342,2131 WALLACE AVENUE
341,2132 DALY AVENUE
338,2300 GRAND CONCOURSE
338,1854 CEDAR AVENUE
337,1468 ASTOR AVENUE
337,3230 CRUGER AVENUE
336,3280 ROCHAMBEAU AVENUE
336,151 EAST MOSHOLU PARKWAY NORTH
336,825 GERARD AVENUE
336,1080 ANDERSON AVENUE
334,2010 POWELL AVENUE
334,2238 CRESTON AVENUE
332,2780 UNIVERSITY AVENUE
